Name,Country,Region,Winery,Rating,NumberOfRatings,Year,Price
Pinot Noir 2016,United States,Central Coast,Ryder Estate,3.4,84,2016,15.90
Reserva 2014,Spain,Utiel-Requena,Marqués de Chivé,3.5,84,2014,6.50
Since 1974 Primitivo di Manduria 2017,Italy,Primitivo di Manduria,Emera,4.1,84,2017,13.15
Cuvèe 2013,Romania,Murfatlar,Alira,4.0,84,2013,11.90
Millenium Reserva 1996,Spain,Ribera del Duero,Tinto Pesquera,4.4,84,1996,389.43
Merlot Dolomiti 2018,Italy,Vigneti delle Dolomiti,Terre del Noce,3.6,84,2018,5.20
Le Mas Coteaux du Languedoc 2018,France,Languedoc,Clavel,3.7,84,2018,9
Costa Russi (Barbaresco) Langhe 2013,Italy,Langhe,Gaja,4.4,84,2013,430
Tinto 2016,Spain,Ribera del Duero,Bodegas Vilano,4.6,84,2016,41.90
Montagne-Saint-Émilion 2013,France,Montagne-Saint-Émilion,Château Teyssier,3.8,84,2013,15
Loam 2017,Italy,Südtirol - Alto Adige,Tramin,4.3,84,2017,29.60
Cabernet Sauvignon 2018,South Africa,Stellenbosch,Zonnebloem,3.6,84,2018,8.29
Lagrein 2018,Italy,Trentino-Alto Adige,Cantina Kaltern,3.6,84,2018,10.23
Merlot 2017,United States,Washington,Two Vines,3.3,84,2017,8.40
Amore e Follia 2016,Italy,Toscana,Podere le Ripi,3.8,84,2016,25.90
Bricco Pernice Barolo 2013,Italy,Barolo,Elvio Cogno,4.1,84,2013,75
Gabarinza 2016,Austria,Burgenland,Heinrich,4.1,84,2016,36.18
Montiano 2015,Italy,Lazio,Falesco,4.1,840,2015,37.50
Pauillac (Premier Grand Cru Classé) 1992,France,Pauillac,Château Mouton Rothschild,4.4,840,1992,1071.29
Chianti Classico Riserva 2015,Italy,Chianti Classico,Castello di Gabbiano,3.8,841,2015,17.63
Rosso di Montalcino 2018,Italy,Rosso di Montalcino,Banfi,3.6,841,2018,14.90
Saint-Julien (Grand Cru Classé) 2008,France,Saint-Julien,Château Ducru-Beaucaillou,4.4,843,2008,136.80
Primitivo di Manduria 2017,Italy,Primitivo di Manduria,Masseria Pietrosa,4.1,844,2017,11.21
Valpolicella Superiore 2017,Italy,Valpolicella,Zenato,3.8,844,2017,7.71
Três Bagos Reserva Tinto 2015,Portugal,Douro,Lavradores de Feitoria,3.7,846,2015,10.23
Margaux (Grand Cru Classé) 2005,France,Margaux,Château Prieuré-Lichine,4.3,847,2005,69.95
Sangaetano Primitivo di Manduria 2018,Italy,Primitivo di Manduria,Cantine due Palme,3.9,848,2018,8.50
Haut-Médoc (Grand Cru Classé) 2015,France,Haut-Médoc,Château La Tour Carnet,4.0,848,2015,39.50
Bin 28 Kalimna Shiraz 2017,Australia,Barossa Valley,Penfolds,4.0,848,2017,33.90
Clos du Marquis Saint-Julien 2008,France,Saint-Julien,Château Léoville Las Cases,4.1,848,2008,92.61
Barolo (Tradizione) 2015,Italy,Barolo,Marchesi di Barolo,4.1,849,2015,23.90
Mormoreto Toscana 2012,Italy,Toscana,Castello Nipozzano,4.2,849,2012,55
Clancy's Red Blend 2015,Australia,Barossa,Peter Lehmann,3.6,849,2015,12.50
Vigne Vecchie Barbera d'Asti Superiore 2011,Italy,Barbera d'Asti,Vinchio - Vaglio Serra,3.9,85,2011,19.90
Reserva Merlot 2016,Brazil,Serra Gaúcha,Don Guerino,3.7,85,2016,12.62
Toscana 2016,Italy,Toscana,Masseto,4.8,85,2016,960.17
Pinot Nero 2011,Italy,Südtirol - Alto Adige,Ferruccio Carlotto,3.6,85,2011,19.45
Les Vaucrains Nuits Saint Georges 1er Cru 2011,France,Nuits-Saint-Georges,Domaine Robert Chevillon,4.3,85,2011,98.72
Sancerre Belle Dame 2014,France,Sancerre,Domaine Vacheron,4.0,85,2014,45.90
Blauschiefer Spätburgunder 2017,Germany,Ahr,Meyer - Näkel,3.8,85,2017,23.16
Pomerol 2013,France,Pomerol,Château Latour à Pomerol,4.2,85,2013,101.74
Châteauneuf-du-Pape Vieilles Vignes 2017,France,Châteauneuf-du-Pape,Domaine de la Janasse,4.4,85,2017,58.39
Portrait Cabernet Sauvignon 2017,Australia,Barossa,Peter Lehmann,3.6,85,2017,12.70
1856 2016,Spain,Mallorca,Macià Batle,3.8,85,2016,16.69
Puglia Primitivo 2018,Italy,Puglia,Lamadoro,3.4,85,2018,5.28
Badiolo Chianti 2017,Italy,Chianti,Trambusti,3.8,85,2017,11.50
Crozes-Ermitage Les Varonniers 2014,France,Crozes-Hermitage,M. Chapoutier,4.3,85,2014,55.48
Pinotage - Shiraz 2017,South Africa,Western Cape,Leopard’s Leap,3.4,85,2017,6.93
Veneto Alzero Cabernet 2009,Italy,Veneto,Quintarelli Giuseppe,4.8,85,2009,324.95
Campomaccione Morellino di Scansano 2011,Italy,Morellino di Scansano,Rocca delle Macìe,3.4,85,2011,11.89
Grumello Valtellina Superiore 2014,Italy,Valtellina Superiore,Mamete Prevostini,3.9,85,2014,16.50
Lifili Primitivo Salento 2018,Italy,Salento,a6mani,3.7,85,2018,5.90
Calvert Pinot Noir 2017,New Zealand,Central Otago,Felton Road,4.2,85,2017,67.90
Valpolicella Classico 2018,Italy,Valpolicella Classico,Cesari,3.5,85,2018,7.60
Côtes du Rhône Les Deux Albion 2018,France,Côtes-du-Rhône,Château de Saint Cosme,3.8,85,2018,15.90
Lalande-de-Pomerol 2013,France,Lalande-de-Pomerol,Château Les Hauts-Conseillants,3.9,85,2013,22.63
Winemaker's Collection Pinotage 2018,South Africa,Swartland,Swartland Winery,3.5,85,2018,7.88
Lagrein Riserva 2016,Italy,Südtirol - Alto Adige,St. Michael-Eppan,3.7,85,2016,15.04
Negre 2012,Spain,Mallorca,Finca Son Bordils,3.8,85,2012,10.56
Edición Limitada B 2016,Chile,Colchagua Valley,Caliterra,4.0,85,2016,15.78
Santa Digna Reserva Merlot 2018,Chile,Central Valley,Miguel Torres,3.5,85,2018,7.63
Cabernet Sauvignon 2015,South Africa,Stellenbosch,Drostdy-Hof,3.3,85,2015,7.79
Côte-Rôtie 2016,France,Côte-Rôtie,Domaine Jean-Michel Stéphan,3.9,85,2016,64
Pannobile 2016,Austria,Burgenland,Anita Nittnaus Hans,3.9,85,2016,23.61
Tintilla 2014,Spain,Cádiz,Atlántida,3.9,85,2014,29.61
Traluna Toscana 2018,Italy,Toscana,Villa Trasqua,3.7,85,2018,8.21
Haut-Médoc (Grand Cru Classé) 2017,France,Haut-Médoc,Château Cantemerle,3.8,85,2017,49.88
Saint-Esprit Côtes-du-Rhône 2018,France,Côtes-du-Rhône,Delas,3.9,850,2018,7.70
Bin 8 Cabernet - Shiraz 2017,Australia,South Australia,Penfolds,3.8,851,2017,31.50
Pessac-Léognan (Grand Cru Classé de Graves) 2010,France,Pessac-Léognan,Château de Fieuzal,4.1,852,2010,63.66
Primitivo I Muri 2018,Italy,Puglia,Vigneti del Salento,3.8,853,2018,4.61
Poggio alle Mura Brunello di Montalcino 2013,Italy,Brunello di Montalcino,Banfi,4.1,853,2013,39.90
Poggio Al Tufo Rompicollo 2016,Italy,Maremma Toscana,Tommasi,3.9,854,2016,15.05
Pessac-Léognan (Grand Cru Classé de Graves) 2008,France,Pessac-Léognan,Château Pape Clément,4.3,854,2008,115.95
Dark Knight Toscana Red 2016,Italy,Toscana,Castello di Gabbiano,3.9,855,2016,13.93
Réserve Saint-Émilion 2016,France,Saint-Émilion,Mouton Cadet,3.7,855,2016,20.89
Cabernet Sauvignon - Merlot 2016,Spain,Somontano,Enate,3.6,856,2016,9.50
Al Passo Toscana 2014,Italy,Toscana,Tolaini,4.0,856,2014,19.50
Barolo Bussia 2013,Italy,Barolo,Giacomo Fenocchio,4.1,858,2013,42.95
Ai Colli Valpolicella Ripasso 2016,Italy,Valpolicella Ripasso,Vivaldi,3.7,858,2016,9.26
Enira 2015,Bulgaria,Pazardjik,Bessa Valley,3.9,858,2015,11.43
Quatro Red 2018,Chile,Colchagua Valley,MontGras,3.8,859,2018,8.63
Pessac-Léognan (Grand Cru Classé de Graves) 2005,France,Pessac-Léognan,Domaine de Chevalier,4.2,859,2005,99.95
Pessac-Léognan (Grand Cru Classé de Graves) 2013,France,Pessac-Léognan,Château Pape Clément,4.2,859,2013,95.53
Labyrinth Cabernet Sauvignon 2017,South Africa,Stellenbosch,Simonsig,3.8,86,2017,12.30
Rough Diamond 2012,South Africa,Constantia,Buitenverwachting,4.2,86,2012,17.90
Palmenti Negroamaro Salento Vigne Vecchie 2016,Italy,Salento,Masseria Pietrosa,4.4,86,2016,27.78
Bobal 2016,Spain,Utiel-Requena,Cerro Gallina,4.2,86,2016,18.52
Signature 2014,South Africa,Stellenbosch,Ernie Els,4.1,86,2014,64.02
La Bouveau Côtes du Rhône 2013,France,Côtes-du-Rhône,Saint-Damien,3.7,86,2013,7.59
Suculé Barbera d'Alba 2015,Italy,Barbera d'Alba,Lo Zoccolaio,4.0,86,2015,14.50
Le Bombarde Cannonau di Sardegna 2018,Italy,Cannonau di Sardegna,Santa Maria La Palma,3.3,86,2018,6.50
12 Volts 2018,Spain,Binissalem-Mallorca,4 Kilos Vinícola,3.8,86,2018,17.99
Chateau Tour de Castres Graves 2012,France,Graves,Rodrigues Lalande,3.7,86,2012,14.95
Diciotto Primitivo 2016,Italy,Salento,Schola Sarmenti,4.5,86,2016,42.27
Peperino Toscana 2016,Italy,Toscana,Teruzzi & Puthod,3.9,86,2016,9.69
Aloxe-Corton 2014,France,Aloxe-Corton,Olivier Leflaive,3.9,86,2014,49.99
Shiraz 2015,South Africa,Stellenbosch,Aaldering,4.2,86,2015,23.90
Director's Reserve Red 2017,South Africa,Stellenbosch,Tokara,4.1,86,2017,33.90
Manor House Shiraz 2016,South Africa,Paarl,Nederburg,3.7,86,2016,9.72
Zweigelt 2018,Austria,Neusiedlersee,Hannes Reeh,3.4,86,2018,8.50
Classic Bordeaux Rouge 2018,France,Bordeaux,Château Lauduc,4.2,86,2018,6.62
Bourgogne Pinot Noir 2017,France,Bourgogne,Domaine des Perdrix,3.9,86,2017,33.94
Aluigi Riserva Chianti Classico 2013,Italy,Chianti Classico,Cinciole,3.7,86,2013,25.30
Tinto 2017,Portugal,Alentejano,Terras de Estremoz,3.2,86,2017,21.45
Gap's Crown Vineyard Pinot Noir 2014,United States,Sonoma Coast,Patz & Hall,4.3,86,2014,89
Pinot Noir Herrenstück 2016,Germany,Baden,Weingut Holger Koch,3.7,86,2016,12.95
Brunello di Montalcino Riserva Pian di Conte 2013,Italy,Brunello di Montalcino,Talenti,4.3,86,2013,125.75
Cabernet 2014,Italy,Venezia Giulia,di Lenardo,3.8,86,2014,9.39
Moulis-en-Médoc 2017,France,Moulis-en-Médoc,Château Chasse-Spleen,3.8,86,2017,34
Primo Scuro 2018,Italy,Cannonau di Sardegna,Mesa,3.4,86,2018,8.49
Saint-Émilion Grand Cru (Premier Grand Cru Classé) 2011,France,Saint-Émilion Grand Cru,Château Figeac,4.4,860,2011,170.59
Amarone della Valpolicella 2016,Italy,Amarone della Valpolicella,Zonin,4.2,862,2016,30.07
Saint-Julien (Grand Cru Classé) 2003,France,Saint-Julien,Château Léoville Las Cases,4.4,863,2003,219.33
Altos del Plata Cabernet Sauvignon 2016,Argentina,Mendoza,Terrazas de los Andes,3.5,863,2016,16.39
Il Rabdomante Montepulciano d'Abruzzo 2016,Italy,Montepulciano d'Abruzzo,Feudi Bizantini,4.2,863,2016,16.95
Crianza Rioja 2015,Spain,Rioja,Castillo de Albai,3.6,864,2015,6.99
Castillon - Côtes de Bordeaux 2010,France,Castillon - Côtes de Bordeaux,Château d'Aiguilhe,3.9,864,2010,36.95
Pauillac (Premier Grand Cru Classé) 2006,France,Pauillac,Château Mouton Rothschild,4.6,864,2006,731.09
Bin 407 Cabernet Sauvignon 2016,Australia,South Australia,Penfolds,4.2,864,2016,91.55
Barbaresco 2016,Italy,Barbaresco,Prunotto,4.0,864,2016,26.90
Max Reserva Carmenère 2017,Chile,Aconcagua Valley,Errazuriz,3.8,864,2017,13.90
Pinot Noir Bourgogne 2018,France,Bourgogne,Labouré-Roi,3.4,865,2018,14.79
Acinatico Valpolicella Classico Superiore Ripasso 2017,Italy,Valpolicella Classico,Stefano Accordini,4.1,866,2017,15.50
Garnacha 2016,Spain,Campo de Borja,Alto Moncayo,4.3,868,2016,34.95
Aska Bolgheri 2016,Italy,Bolgheri,Banfi,4.0,868,2016,15.90
Primitivo 2017,Italy,Salento,Itinera Prima Classe,3.9,868,2017,6.95
Riserva 2016,Italy,Brindisi,Doppio Passo,4.0,868,2016,13.95
L'U Umbria Rosso 2018,Italy,Umbria,Lungarotti,3.8,87,2018,7.80
El Andén de la Estación 2016,Spain,Rioja,Muga,4.1,87,2016,11.21
Gaglioppo 2017,Italy,Calabria,Statti,3.5,87,2017,9.49
Barolo Ravera 2011,Italy,Barolo,Vietti,4.3,87,2011,134.83
Alfa Spiga Ribera del Duero 2005,Spain,Ribera del Duero,O. Fournier,4.0,87,2005,69.99
Cabernet Franc 2018,South Africa,Stellenbosch,Morgenster Estate,4.0,87,2018,12.62
Bordeaux 2016,France,Bordeaux,Château de Camarsac,3.2,87,2016,8.33
Heideboden Rotweincuvée 2018,Austria,Neusiedlersee,Keringer,3.7,87,2018,10.50
Bourgogne Couvent des Jacobins Pinot Noir 2018,France,Bourgogne,Louis Jadot,3.7,87,2018,16.48
Caringole Rouge 2018,France,Côtes de Thongue,La Croix Belle,3.6,87,2018,6.50
Dits del Terra 2016,Spain,Priorat,Terroir Al Límit Soc. Lda,4.2,87,2016,60
Garnacha Tintorera 2015,Spain,Almansa,Intruso,3.5,87,2015,7
Saint-Émilion Grand Cru (Premier Grand Cru Classé) 2017,France,Saint-Émilion Grand Cru,Château Canon-La-Gaffelière,4.1,87,2017,96.51
Les Jumelles Côte Rotie 2015,France,Côte-Rôtie,Paul Jaboulet Aîné,4.2,87,2015,66.93
Domaine des Tourettes Hermitage Rouge 2016,France,Hermitage,Delas,4.4,87,2016,63.36
Barrica 2016,Spain,Cigales,El Perdiguero,4.0,87,2016,7.45
Syrah 2018,Italy,Terre Siciliane,Fatascia,3.7,87,2018,7.53
Quattro Passi Appassimento Rosso Veneto 2017,Italy,Veneto,Villa Degli Olmi,3.7,87,2017,8.76
Salice Salentino Riserva 2017,Italy,Salice Salentino,Il Tauro,3.6,87,2017,6.21
Momi Maremma Toscana 2017,Italy,Maremma Toscana,Tenute Guicciardini Strozzi,3.7,87,2017,12.99
Cabernet Sauvignon 2017,South Africa,Paarl,Niel Joubert,3.7,87,2017,6.12
Crianza Vendimia Seleccionada 2017,Spain,Rioja,Azabache,3.7,87,2017,7.45
Gabarinza 2010,Austria,Burgenland,Heinrich,4.2,87,2010,39.95
Crianza 2013,Spain,Toro,Damalisco,3.5,87,2013,7.95
Romeo Monastrell Roble 2016,Spain,Jumilla,Alceño,3.7,87,2016,8.90
Brolo di Campofiorin Oro 2015,Italy,Rosso Veronese,Masi,3.8,870,2015,14.99
Opus One 2016,United States,Napa Valley,Opus One,4.6,872,2016,388.94
Médoc 2008,France,Médoc,Château La Cardonne,3.5,872,2008,23.34
Es Primitivo di Manduria 2016,Italy,Primitivo di Manduria,Gianfranco Fino,4.4,873,2016,46.46
Cabernet Sauvignon (Reserva) 2018,Chile,Central Valley,Casillero del Diablo,3.6,8739,2018,7.89
Langhe Nebbiolo 2012,Italy,Langhe,La Spinetta,3.8,874,2012,25.34
Margaux 2014,France,Margaux,Château Labégorce,3.9,876,2014,28.65
Merlot 2016,United States,Columbia Valley,14 Hands,3.8,876,2016,13.50
Bordeaux Rouge 2017,France,Bordeaux,Baron Philippe de Rothschild,3.5,877,2017,12.92
The Signature Cabernet Sauvignon - Shiraz 2013,Australia,Barossa,Yalumba,4.1,878,2013,56.27
Ca' di Pian Barbera d'Asti 2016,Italy,Barbera d'Asti,La Spinetta,4.0,879,2016,21.50
Côte de Nuits-villages 2016,France,Côte de Nuits Villages,Joseph Drouhin,3.8,88,2016,24.27
Reserve Merlot 2014,South Africa,Stellenbosch,Vergelegen,3.8,88,2014,23.68
Terre d'Argence Costières-de-Nîmes 2015,France,Costières-de-Nîmes,Château Mourgues du Grès,3.8,88,2015,12.90
Gran Reserva Rioja 2012,Spain,Rioja,Campillo,4.1,88,2012,33.99
Barolo Ciabot Mentin 2011,Italy,Barolo,Domenico Clerico,4.2,88,2011,67.42
Macán 2015,Spain,Rioja,Benjamin de Rothschild - Vega Sicilia,4.5,88,2015,66
Reflets Rouge 2014,France,Loire Valley,Domaine Saint Nicolas,3.5,88,2014,14
Sorì Tildìn (Barbaresco) Langhe 2010,Italy,Langhe,Gaja,4.5,88,2010,290.03
Vigne di Montornello Chianti Classico Gran Selezione 2014,Italy,Chianti Classico,Bibbiano,3.9,88,2014,30.73
Las Pizarras Pinot Noir 2015,Chile,Aconcagua Costa,Errazuriz,4.1,88,2015,87.64
La Sambinerie Beaujolais Villages 2017,France,Beaujolais-Villages,Richard Rottiers,3.9,88,2017,12.48
Barolo Bussia Colonnello 2013,Italy,Barolo,Aldo Conterno,4.4,88,2013,130.95
Mercurey 1er Cru 'Clos du Roy' Rouge 2017,France,Mercurey 1er Cru 'Le Clos du Roy',Domaine Chanzy,4.1,88,2017,31.10
Tapas Tempranillo 2018,Spain,Somontano,Enate,3.3,88,2018,5.95
Giorgio Bartholomäus 2008,Italy,Bolgheri Superiore,Tenuta Argentiera,4.5,88,2008,100.80
Organic Shiraz 2018,Australia,South Australia,Farm Hand,3.6,88,2018,7.90
ER Etna Rosso 2014,Italy,Etna,Theresa Eccher,3.9,88,2014,19.44
Château Pontet Saint Brice Saint-Émilion Grand Cru 2016,France,Saint-Émilion Grand Cru,Château Cafol,3.9,88,2016,15.13
Classic 2017,Spain,Calatayud,Bodegas Langa,3.9,88,2017,10.90
Pessac-Léognan 2017,France,Pessac-Léognan,Château les Carmes Haut-Brion,3.9,88,2017,102.35
Veneto Rosso Passo Rosso 2018,Italy,Veneto,Lenotti,3.8,88,2018,4.80
El Incidente Carménère 2017,Chile,Colchagua Valley,Viu Manent,4.3,88,2017,53.61
Nebbiolo d'Alba 2017,Italy,Nebbiolo d'Alba,Scanavino,3.5,88,2017,9.49
Tenuta Lodola Nuova Vino Nobile di Montepulciano 2016,Italy,Vino Nobile di Montepulciano,Ruffino,3.6,88,2016,19.65
Givry 1er Cru Clos du 'Cellier Aux Moines' 2015,France,Givry 1er Cru 'Cellier aux Moines',Domaine Thénard,4.0,88,2015,27.60
Rigoleto Montecucco Rosso 2017,Italy,Montecucco,ColleMassari,3.7,88,2017,12.50
Backbone Cabernet Sauvignon 2017,United States,California,Motto,3.6,88,2017,21.45
Côte des Roses Pinot Noir 2018,France,Pays d'Oc,Gérard Bertrand,3.3,88,2018,10.80
Pomerol 2016,France,Pomerol,Château Lagrange,4.1,88,2016,38.50
Le Serre Nuove 2017,Italy,Bolgheri,Ornellaia,4.3,880,2017,44.52
Vintner's Reserve Zinfandel 2011,United States,Mendocino County,Kendall-Jackson,3.7,881,2011,13.55
Saint-Julien 2013,France,Saint-Julien,Château Gloria,3.8,881,2013,46.50
Roble Cabernet Sauvignon - Merlot Somontano 2017,Spain,Somontano,Viñas del Vero,3.3,882,2017,6.60
Cabernet Sauvignon 2013,United States,Washington,Red Diamond,3.5,882,2013,14.13
Harmonie de Gascogne Rouge 2018,France,Côtes de Gascogne,Domaine de Pellehaut,3.8,883,2018,6.29
Cum Laude 2015,Italy,Toscana,Banfi,3.8,883,2015,12.60
Lagone Toscana 2017,Italy,Toscana,Aia Vecchia,3.7,884,2017,10.62
Castello Fonterutoli Chianti Classico Gran Selezione 2015,Italy,Chianti Classico,Mazzei,4.2,885,2015,38
Tenuta Lodola Nuova Vino Nobile di Montepulciano 2014,Italy,Vino Nobile di Montepulciano,Ruffino,3.6,885,2014,18.86
Ultreia Valtuille Mencía 2016,Spain,Bierzo,Raúl Pérez,4.1,885,2016,55.90
Luce 2014,Italy,Toscana,Luce della Vite,4.3,887,2014,86.76
Don Maximiano Founder's Reserve 2011,Chile,Aconcagua Valley,Errazuriz,4.4,887,2011,77.01
Margaux (Grand Cru Classé) 2010,France,Margaux,Château Malescot St. Exupery,4.3,888,2010,117.95
Marius Grenache - Syrah 2018,France,Pays d'Oc,M. Chapoutier,3.5,888,2018,6.50
Cabernet Sauvignon Gran Reserva 2017,Chile,Maipo Valley,Casas del Bosque,4.1,888,2017,13.95
Crianza 2014,Spain,Ribera del Duero,Áster,3.8,889,2014,18.84
Cabernet Sauvignon 2014,United States,Napa Valley,Paul Hobbs,4.5,889,2014,129
Sainte-Épine Saint-Joseph 2011,France,Saint-Joseph,Delas,4.3,89,2011,48.64
Boğazkere - Öküzgözü 2018,Turkey,Thrace,Suvla,3.7,89,2018,11.50
Volnay Santenots-Du-Milieu Premier Cru 2015,France,Volnay Premier Cru,Domaine des Comtes Lafon,4.4,89,2015,139
Shiraz 2017,Argentina,Mendoza,Argento,3.4,89,2017,9.99
Case Via Syrah 2013,Italy,Colli della Toscana Centrale,Fontodi,3.9,89,2013,37.04
Reserve Syrah Single Vineyard Bozokbag 2013,Turkey,Thrace,Suvla,4.2,89,2013,35
Domaine des Hospice de Belleville Brouilly 2016,France,Brouilly,Joseph Drouhin,3.6,89,2016,15.39
Sangiovese Maremma Toscana Francesco Zonin 2018,Italy,Maremma Toscana,Zonin,3.4,89,2018,6.58
Les Terroirs Faugères 2017,France,Faugères,Calmel & Joseph,3.6,89,2017,8.70
Médoc 2015,France,Médoc,Château Leboscq,3.5,89,2015,13.90
Gigondas Rouge 2015,France,Gigondas,Château du Trignon,3.8,89,2015,22.79
Barolo 2012,Italy,Barolo,Serre dei Roveri,3.3,89,2012,21.50
Côtes de Provence Rouge 2018,France,Côtes de Provence,Marchandise,3.8,89,2018,12.34
Réserve Spéciale Syrah 2018,France,Pays d'Oc,Gérard Bertrand,3.6,89,2018,8.32
Beaune 1er Cru 'Clos des Mouches' 2017,France,Beaune 1er Cru 'Le Clos des Mouches',Joseph Drouhin,4.3,89,2017,105
Maremmante Maremma 2016,Italy,Toscana,Poggio Argentiera,3.5,89,2016,8.67
Barrel Select Cabernet - Syrah 2018,Argentina,Tulum Valley,Bodega Finca Las Moras,3.6,89,2018,9.37
Les Cépages Syrah 2017,France,Pays d'Oc,Baron Philippe de Rothschild,3.4,89,2017,8.69
Sa Talaia Negre 2016,Spain,Mallorca,Cap Andritxol,3.8,89,2016,18.03
Moulis 2015,France,Moulis-en-Médoc,Château Branas Grand Poujeaux,4.1,89,2015,40.94
Cabanon Côtes du Roussillon Villages 2014,France,Côtes du Roussillon Villages,Thunevin-Calvet,3.7,89,2014,12.48
Lucale Appassimento Primitivo 2017,Italy,Puglia,Masseria Borgo dei Trulli,3.8,89,2017,8.90
Les Grès 2017,France,La Clape,Domaine de Boède,3.8,89,2017,23.20
Grenache 2018,South Africa,Swartland,David & Nadia,4.0,89,2018,34.15
Ermitage Ex-Voto 2012,France,Hermitage,E. Guigal,4.4,89,2012,299
Cuvée Charlotte 2013,Romania,Dealu Mare,Serve,4.1,89,2013,26.90
Rioja Reserva Mazuelo 2015,Spain,Rioja,Beronia,3.9,89,2015,14.19
Folly Syrah 2017,Chile,Colchagua Valley,Montes,4.4,89,2017,56.95
Fonterutoli Chianti Classico 2010,Italy,Chianti Classico,Mazzei,3.8,890,2010,38.70
HEBO (Suvereto) 2017,Italy,Toscana,Petra,3.8,890,2017,13.95
Aglianico Riserva Contado 2013,Italy,Molise,Di Majo Norante,3.7,891,2013,11.40
Monte Llano Tempranillo Rioja 2017,Spain,Rioja,Monte Llano,3.7,892,2017,6.90
Li Filitti Riserva Primitivo di Manduria 2015,Italy,Primitivo di Manduria,Masca del Tacco,4.2,892,2015,15.95
Premier Vin 2015,France,Castillon - Côtes de Bordeaux,Château de Pitray,3.7,892,2015,12.50
Saint-Julien 2012,France,Saint-Julien,Château Lalande-Borie,4.0,892,2012,36.11
Saint-Julien (Grand Cru Classé) 2002,France,Saint-Julien,Château Léoville Barton,4.2,893,2002,89.95
Toscana Mediterra 2016,Italy,Toscana,Poggio Al Tesoro,4.0,894,2016,12.48
Haut-Médoc (Grand Cru Classé) 2014,France,Haut-Médoc,Château Cantemerle,3.8,896,2014,34.02
Ventoux Terrasses 2017,France,Ventoux,Château Pesquie,3.8,896,2017,9.50
Pessac-Léognan (Grand Cru Classé de Graves) 2014,France,Pessac-Léognan,Château Pape Clément,4.3,898,2014,89
Saint-Julien 2005,France,Saint-Julien,Château Gloria,4.1,899,2005,65.95
Shiraz 2016,United States,California,Gallo Family Vineyards,3.5,90,2016,6.31
Mandus Primitivo di Manduria 2018,Italy,Primitivo di Manduria,Pietra Pura,4.0,90,2018,7.63
Haut-Médoc 2017,France,Haut-Médoc,Château Sociando-Mallet,4.0,90,2017,54.36
Trilogy 2016,South Africa,Stellenbosch,Warwick,3.9,90,2016,23.79
Rosso di Montalcino 2017,Italy,Rosso di Montalcino,Poggio San Polo,3.7,90,2017,16.90
Red 2017,South Africa,Stellenbosch,Meerlust,3.9,90,2017,13.90
Spätburgunder 2016,Germany,Pfalz,Rings,3.6,90,2016,29.41
The Garland 2011,South Africa,Stellenbosch,Simonsig,4.5,90,2011,63.15
Petit Verdot 2016,Spain,Dominio de Valdepusa,Marqués de Griñon,4.0,90,2016,27.36
Fixin 'Coeur de Violette' 2016,France,Fixin,Frédéric Magnien,3.6,90,2016,29.15
Grande Reserva Alentejano Tinto 2014,Portugal,Alentejano,Monte Cascas,4.0,90,2014,21.45
Kalk und Schiefer Blaufränkisch 2018,Austria,Burgenland,Anita Nittnaus Hans,4.1,90,2018,12.69
Sagrantino Montefalco Chiusa di Pannone 2011,Italy,Montefalco,Antonelli San Marco,4.2,90,2011,44
Tramp 2015,Spain,Catalunya,Can Grau Vell,3.7,90,2015,30.99
Fleurie 2018,France,Fleurie,Terres Dorées,3.8,90,2018,18.90
Le Cirque Rouge 2016,France,Côtes Catalanes,Vignerons de Tautavel Vingrau,3.4,90,2016,6.83
Saustó 2013,Italy,Valpolicella,Monte Dall'Ora,3.9,90,2013,27.90
Intenso Tannat 2013,Brazil,Campanha,Salton,3.3,90,2013,9.95
Haut-Médoc 2016,France,Haut-Médoc,Château Clement-Pichon,3.6,90,2016,24.18
La Gargantilla Garnacha 2015,Spain,Rioja,Bodegas Valdemar,3.8,90,2015,36.99
Barbaresco Bordini 2016,Italy,Barbaresco,Elvio Cogno,3.9,90,2016,26.50
Harlequin Shiraz - Pinotage 2017,South Africa,Wellington,Diemersfontein,3.9,90,2017,8.50
Les Terroirs Côtes du Roussillon Villages 2016,France,Côtes du Roussillon Villages,Calmel & Joseph,3.6,90,2016,8.70
Pomerol 2016,France,Pomerol,Château Bourgneuf (Vieux Château Bourgneuf),4.0,90,2016,51.60
Reserva Rioja Tempranillo 2009,Spain,Rioja,Baigorri,4.0,901,2009,56.54
Bourgogne Hautes-Côtes de Beaune 2016,France,Bourgogne Hautes-Côtes de Beaune,Bouchard Père & Fils,3.8,901,2016,17.21
Merlot (Grande Vindima) 2008,Brazil,Encruzilhada do Sul,Lidio Carraro,3.9,902,2008,45.77
Saint-Julien (Grand Cru Classé) 1998,France,Saint-Julien,Château Léoville Barton,4.2,902,1998,89.95
John X Merriman 2016,South Africa,Stellenbosch,Rustenberg,4.0,902,2016,19.30
Gran Reserva Cabernet Sauvignon 2017,Chile,Maipo Valley,Santa Ema,3.9,903,2017,9.50
Benuara (Tenuta Presti e Pegni) 2015,Italy,Terre Siciliane,Cusumano,3.7,903,2015,11.95
Corimbo 2014,Spain,Ribera del Duero,Bodegas La Horra,4.0,904,2014,22.95
